# https://bgp.tools/communities/13335
13335:10000,PoP: sfo04
13335:10001,PoP: sc_ord02
13335:10002,PoP: ash1
13335:10004,PoP: sjc01
13335:10005,PoP: linode_nj
13335:10006,PoP: linode_ca
13335:10007,PoP: linode_tx
13335:10008,PoP: ams1
13335:10009,PoP: tko1
13335:10010,PoP: CloudFlareSystem
13335:10011,PoP: ewr01
13335:10012,PoP: lax01
13335:10014,PoP: ord02
13335:10015,PoP: dfw01
13335:10016,PoP: iad02
13335:10017,PoP: mia01
13335:10018,PoP: fra01
13335:10019,PoP: cdg01
13335:10020,PoP: ams01
13335:10021,PoP: lhr01
13335:10022,PoP: nrt01
13335:10023,PoP: hkg01
13335:10024,PoP: sin01
13335:10025,PoP: sfo01
13335:10026,PoP: syd01
13335:10027,PoP: atl01
13335:10028,PoP: sea01
13335:10029,PoP: yyz01
13335:10030,PoP: vie01
13335:10031,PoP: prg01
13335:10032,PoP: arn01
13335:10033,PoP: waw01
13335:10034,PoP: icn01
13335:10035,PoP: sin02
13335:10036,PoP: pdx01
13335:10037,PoP: fra02
13335:10038,PoP: scl01
13335:10039,PoP: mxp01
13335:10040,PoP: mad01
13335:10041,PoP: mde01
13335:10042,PoP: gru01
13335:10043,PoP: lim01
13335:10044,PoP: eze01
13335:10045,PoP: jnb01
13335:10046,PoP: akl01
13335:10047,PoP: mel01
13335:10048,PoP: dus01
13335:10049,PoP: mrs01
13335:10050,PoP: otp01
13335:10051,PoP: kix01
13335:10052,PoP: dub01
13335:10053,PoP: kwi01
13335:10054,PoP: doh01
13335:10055,PoP: mct01
13335:10056,PoP: kul01
13335:10057,PoP: del01
13335:10058,PoP: bom01
13335:10059,PoP: maa01
13335:10060,PoP: dxb01
13335:10061,PoP: mba01
13335:10062,PoP: cai01
13335:10063,PoP: man01
13335:10064,PoP: zrh01
13335:10065,PoP: cph01
13335:10066,PoP: phx01
13335:10067,PoP: txl01
13335:10068,PoP: mnl01
13335:10069,PoP: yvr01
13335:10070,PoP: yul01
13335:10071,PoP: fra03
13335:10072,PoP: msp01
13335:10073,PoP: waw02
13335:10074,PoP: sof01
13335:10075,PoP: ham01
13335:10076,PoP: edi01
13335:10077,PoP: mnl02
13335:10078,PoP: bru01
13335:10079,PoP: hel01
13335:10080,PoP: tpe01
13335:10081,PoP: las01
13335:10082,PoP: kbp01
13335:10083,PoP: osl01
13335:10084,PoP: per01
13335:10085,PoP: bne01
13335:10086,PoP: bkk01
13335:10087,PoP: dme01
13335:10088,PoP: ath01
13335:10089,PoP: bcn01
13335:10090,PoP: pty01
13335:10092,PoP: bom02
13335:10093,PoP: maa02
13335:10094,PoP: stl01
13335:10095,PoP: uio01
13335:10096,PoP: lad01
13335:10097,PoP: gru02
13335:10098,PoP: den01
13335:10099,PoP: lux01
13335:10100,PoP: muc01
13335:10101,PoP: gig01
13335:10102,PoP: phl01
13335:10103,PoP: tpa01
13335:10104,PoP: bkk02
13335:10105,PoP: cur01
13335:10106,PoP: bos01
13335:10107,PoP: lis01
13335:10108,PoP: sfo05
13335:10109,PoP: san01
13335:10110,PoP: scl02
13335:10111,PoP: cmb01
13335:10112,PoP: hyd01
13335:10113,PoP: cpt01
13335:10114,PoP: vie02
13335:10115,PoP: bna01
13335:10116,PoP: dtw01
13335:10117,PoP: evn01
13335:10118,PoP: ist01
13335:10119,PoP: pdx02
13335:10120,PoP: beg01
13335:10121,PoP: oma01
13335:10122,PoP: jib01
13335:10123,PoP: bud01
13335:10124,PoP: zag01
13335:10125,PoP: mci01
13335:10126,PoP: fco01
13335:10127,PoP: bkk03
13335:10128,PoP: arn02
13335:10129,PoP: bkk04
13335:10130,PoP: ruh01
13335:10131,PoP: sfo06
13335:10132,PoP: kbp02
13335:10133,PoP: sfo07
13335:10134,PoP: hkg02
13335:10135,PoP: mfe01
13335:10136,PoP: dur01
13335:10137,PoP: pit01
13335:10138,PoP: smf01
13335:10139,PoP: mru01
13335:10140,PoP: mfm01
13335:10141,PoP: ceb01
13335:10142,PoP: ktm01
13335:10143,PoP: slc01
13335:10144,PoP: pnh01
13335:10145,PoP: kef01
13335:10146,PoP: bgw01
13335:10147,PoP: dkr01
13335:10148,PoP: vno01
13335:10149,PoP: tlv01
13335:10150,PoP: bey01
13335:10151,PoP: rix01
13335:10152,PoP: tll01
13335:10153,PoP: yyc01
13335:10154,PoP: ind01
13335:10155,PoP: jax01
13335:10156,PoP: mem01
13335:10157,PoP: mgm01
13335:10158,PoP: led01
13335:10159,PoP: mex01
13335:10160,PoP: tlh01
13335:10161,PoP: bog01
13335:10162,PoP: iah01
13335:10163,PoP: orf01
13335:10164,PoP: sfo08
13335:10165,PoP: adl01
13335:10166,PoP: kiv01
13335:10167,PoP: yxe01
13335:10168,PoP: ywg01
13335:10169,PoP: lux02
13335:10170,PoP: bah01
13335:10171,PoP: sfo09
13335:10172,PoP: ric01
13335:10173,PoP: uln01
13335:10174,PoP: los01
13335:10175,PoP: bkk05
13335:10176,PoP: sgn01
13335:10177,PoP: han01
13335:10178,PoP: run01
13335:10179,PoP: khi01
13335:10180,PoP: zdm01
13335:10181,PoP: clt01
13335:10182,PoP: cmn01
13335:10184,PoP: yow01
13335:10185,PoP: cmh01
13335:10186,PoP: isb01
13335:10187,PoP: amm01
13335:10188,PoP: lhe01
13335:10189,PoP: ist02
13335:10190,PoP: qro01
13335:10191,PoP: poa01
13335:10192,PoP: gva01
13335:10193,PoP: scl03
13335:10194,PoP: cwb01
13335:10195,PoP: mpm01
13335:10196,PoP: for01
13335:10197,PoP: skg01
13335:10198,PoP: los02
13335:10199,PoP: buf01
13335:10200,PoP: gyd01
13335:10201,PoP: got01
13335:10202,PoP: bom03
13335:10203,PoP: lca01
13335:10204,PoP: kgl01
13335:10205,PoP: pap01
13335:10206,PoP: uln02
13335:10207,PoP: khi02
13335:10208,PoP: nou01
13335:10209,PoP: asu01
13335:10210,PoP: nqn01
13335:10211,PoP: dar01
