203391:203391:1000,North America
203391:203391:1100,Europe
203391:203391:1200,Asia
203391:203391:1300,Latin America
203391:203391:1400,Middle East
203391:203391:1600,Oceania
203391:203391:1800,Africa
203391:203391:1001,US Los Angeles
203391:203391:1002,US Ashburn
203391:203391:1003,US Chicago
203391:203391:1004,US Seattle
203391:203391:1005,US Dallas
203391:203391:1008,US Los Angeles
203391:203391:1006,US Buffalo
203391:203391:1010,US Atlanta
203391:203391:1011,US Miami
203391:203391:1012,US New York
203391:203391:1013,US Chicago
203391:203391:1014,US Los Angeles
203391:203391:1015,US Phoenix
203391:203391:1016,US Dallas
203391:203391:1017,US Salt Lake City
203391:203391:1018,US Denver
203391:203391:1019,US Kansas City
203391:203391:1020,US Silicon Valley
203391:203391:1021,US Ashburn
203391:203391:1022,CA Montreal
203391:203391:1023,CA Toronto
203391:203391:1024,US New Jersey
203391:203391:1025,US Dallas
203391:203391:1026,US Chicago
203391:203391:1027,US Atlanta
203391:203391:1028,US Fremont
203391:203391:1029,US Phoenix
203391:203391:1030,US Miami
203391:203391:1031,US Ashburn
203391:203391:1032,US Seattle
203391:203391:1033,US Dallas
203391:203391:1034,US Chicago
203391:203391:1035,US Los Angeles
203391:203391:1036,US San Jose
203391:203391:1037,US Dallas
203391:203391:1038,CA Toronto
203391:203391:1039,US Dallas
203391:203391:1040,MX Queretaro
203391:203391:1041,US Bend
203391:203391:1042,US Los Angeles
203391:203391:1043,US Miami
203391:203391:1082,US Silicon Valley LP
203391:203391:1083,US Seattle LP
203391:203391:1084,US Atlanta LP
203391:203391:1085,US Dallas LP
203391:203391:1086,US Chicago LP
203391:203391:1088,MX Queretaro LP
203391:203391:1101,DE Frankfurt
203391:203391:1102,NL Amsterdam
203391:203391:1103,UK London
203391:203391:1104,FR Paris
203391:203391:1106,CH Zurich
203391:203391:1107,PL Krakow
203391:203391:1109,PL Warsaw
203391:203391:1110,IL Tel Aviv
203391:203391:1111,BG Sofia
203391:203391:1112,PT Lisbon
203391:203391:1113,NL Amsterdam
203391:203391:1115,UA Kyiv
203391:203391:1116,RO Bucharest
203391:203391:1117,ES Madrid
203391:203391:1118,RU Moscow
203391:203391:1119,NO Oslo
203391:203391:1120,SE Stockholm
203391:203391:1121,FI Helsinki
203391:203391:1122,IT Milan
203391:203391:1123,AT Vienna
203391:203391:1124,UK London
203391:203391:1125,DE Frankfurt
203391:203391:1126,NL Amsterdam
203391:203391:1127,DE Frankfurt
203391:203391:1128,EE Tallinn
203391:203391:1129,EE Tallinn
203391:203391:1130,FR Paris
203391:203391:1181,SE Stockholm LP
203391:203391:1182,UK London LP
203391:203391:1183,FR Paris LP
203391:203391:1185,ES Madrid LP
203391:203391:1186,NL Amsterdam LP
203391:203391:1187,PL Warsaw LP
203391:203391:1188,IL Tel Aviv LP
203391:203391:1201,JP Tokyo
203391:203391:1202,SG Singapore
203391:203391:1203,SG Singapore
203391:203391:1204,HK Hong Kong
203391:203391:1205,IN Mumbai
203391:203391:1206,TW Taipei
203391:203391:1208,IN Delhi
203391:203391:1209,HK Hong Kong
203391:203391:1210,JP Tokyo
203391:203391:1211,HK Hong Kong
203391:203391:1212,SG Singapore
203391:203391:1281,JP Tokyo LP
203391:203391:1282,IN Mumbai LP
203391:203391:1283,IN Delhi LP
203391:203391:1301,CL Santiago
203391:203391:1302,AR Buenos Aires
203391:203391:1303,BR Sao Paulo
203391:203391:1401,SA Riyadh
203391:203391:1402,TR Istanbul
203391:203391:1403,IR Tehran
203391:203391:1601,AU Sydney
203391:203391:1602,AU Melbourne
203391:203391:1603,NZ Auckland
203391:203391:1801,ZA Johannesburg
