# From AS3216 whois

# External
# Location / Peer
3216:501x,Vodafone (Cable&Wireless) uplink
3216:502x,Telecom Italia Sparkle uplink
3216:503x,PCCW Global uplink
3216:504x,Telia Global uplink
3216:505x,Turk Telekom uplink
3216:506x,TATA Communications uplink
3216:508x,Orange uplink
3216:509x,Cogent uplink
3216:510x,any DE-CIX peer
3216:511x,any LINX peer
3216:512x,any AMS-IX peer
3216:513x,any Equinix Ashrburn peer
3216:514x,any Netnod Stockholm peer
3216:570x,DATAIX (EU) peers
3216:573x,any JPNAP Tokyo peer
3216:574x,any Equinix Hong Kong peer
3216:575x,any HKIX peer
3216:576x,any NL-ix peer
3216:577x,any BBIX Tokyo peer
3216:578x,any BBIX Hong Kong peer
3216:550x,CDN77 private peer (Frankfurt)
3216:551x,G-Core Labs private peers
3216:552x,FACEBOOK private peer (Frankfurt)
3216:553x,Level 3 Communications private peer
3216:554x,FACEBOOK private peer (Stockholm)
3216:555x,Twitch private peer
3216:556x,VALVE private peer (Stockholm)
3216:557x,Apple private peer (Frankfurt)
3216:558x,Core-Backbone private peer (Frankfurt)
3216:559x,ONLINE SAS private peer (Amsterdam)
3216:520x,Google private peer (Moscow and Frankfurt)
3216:521x,Megafon private peer
3216:522x,MTU private peer
3216:523x,Vkontakte (AS47541) private peer
3216:524x,TransTelecom private peer
3216:525x,Yandex private peer
3216:526x,Corbina private peer
3216:527x,Comcor private peer
3216:529x,Rostelecom private peer
3216:530x,Vkontakte (AS47542) private peer
3216:531x,DATAIX (RU) peers
3216:533x,DALSATKOM AS43550 private peer
3216:534x,RetnNet private peer
3216:535x,FDCServers
3216:536x,Rascom private peer
3216:537x,SOLNTCETELEKOM private peer
3216:538x,Er-telecom private peer
3216:539x,Mail.ru private peer
3216:540x,DigitalOcean private peer
3216:542x,Roblox private peer
3216:543x,Verizon Digital Media Services (EdgeCast) private peer
3216:544x,Melbikomas AS56630 private peer
3216:545x,Akamai private peer (Stockholm)
3216:546x,Fastly private peer (Stockholm)
3216:547x,DDOS-GUARD private peer
3216:548x,LeaseWeb private peer
3216:549x,ByteDance
3216:560x,Wargaming private peer (Krasnoyarsk)
3216:561x,LLNW private peer (Stockholm)
3216:562x,FACEBOOK private peer (Helsingfors)
3216:563x,Google Global Cache
3216:564x,AS21357 private peer
3216:565x,Amazon private peer (Frankfurt)
3216:566x,China Telecom private peer
3216:567x,Hetzner private peer
3216:568x,Amazon private peer (Stockholm)
3216:569x,VALVE private peer (Frankfurt)
3216:581x,CLOUDFLARE private peer (Frankfurt)
3216:582x,FACEBOOK private peer (Tokyo)
