# From AS61423 network site: https://as61423.net/

61423:666,Blackhole route

65000:0,no export to any
65001:0,prepend 1 to anyone
65002:0,prepend 2 to anyone
65003:0,prepend 3 to anyone
65004:0,prepend 4 to anyone

65000:1112,no export to any customer
65000:1113,no export to any IXP
65000:1114,no export to any PNI
65000:1115,no export to any transit

65000:1251,no export in Europe

65000:1261,no export in Switzerland - CH
65000:1262,no export in Germany - DE
65000:1263,no export in Austria - AT

65000:1271,no export in Zug - CH
65000:1272,no export in Zurich - CH
65000:1273,no export in Frankfurt - DE
65000:1274,no export in Vienna - AT
65000:1275,no export in Klagenfurt - AT

65000:1311,no export to IXP SwissIX
65000:1312,no export to IXP VIX
65000:1313,no export to DE-CIX Frankfurt
65000:1314,no export to IXP AAIX

65000:1333,no export to transit Arelion in Vienna - AT
65000:1339,no export to transit Colt in Vienna - AT
65000:1336,no export to transit Lumen in Vienna - AT
65000:1331,no export to transit Arelion in Zurich - CH
65000:1337,no export to transit Colt in Zurich - CH
65000:1334,no export to transit Lumen in Zurich - CH
65000:1332,no export to transit Arelion in Frankfurt - DE
65000:1338,no export to transit Colt in Frankfurt - DE
65000:1335,no export to transit Lumen in Frankfurt - DE

65001:1112,prepend 1 to any customer
65001:1113,prepend 1 to any IXP
65001:1115,prepend 1 to any transit

65001:1251,prepend 1 to anyone in Europe

65001:1271,prepend 1 to anyone in Zug - CH
65001:1272,prepend 1 to anyone in Zurich - CH
65001:1273,prepend 1 to anyone in Frankfurt - DE
65001:1274,prepend 1 to anyone in Vienna - AT
65001:1275,prepend 1 to anyone in Klagenfurt - AT

65001:1261,prepend 1 to anyone in Switzerland - CH
65001:1262,prepend 1 to anyone in Frankfurt - DE
65001:1263,prepend 1 to anyone in Austria - AT

65001:1311,prepend 1 to IXP SwissIX
65001:1312,prepend 1 to IXP VIX
65001:1313,prepend 1 to IXP DE-CIX Frankfurt
65001:1314,prepend 1 to IXP AAIX

65002:1112,prepend 2 to any customer
65002:1113,prepend 2 to any IXP
65002:1115,prepend 2 to any transit

65002:1251,prepend 2 to anyone in Europe

65002:1271,prepend 2 to anyone in Zug - CH
65002:1272,prepend 2 to anyone in Zurich - CH
65002:1273,prepend 2 to anyone in Frankfurt - DE
65002:1274,prepend 2 to anyone in Vienna - AT
65002:1275,prepend 2 to anyone in Klagenfurt - AT

65002:1261,prepend 2 to anyone in Switzerland - CH
65002:1262,prepend 2 to anyone in Frankfurt - DE
65002:1263,prepend 2 to anyone in Austria - AT

65002:1311,prepend 2 to IXP SwissIX
65002:1312,prepend 2 to IXP VIX
65002:1313,prepend 2 to IXP DE-CIX Frankfurt
65002:1314,prepend 2 to IXP AAIX

65003:1112,prepend 3 to any customer
65003:1113,prepend 3 to any IXP
