# AS641 communities taken from https://onestep.net/communities/as6461/
6461:5994,Peering session in APAC
6461:5995,Public peering exchange
6461:5996,Peering in the EU
6461:5997,Peer
6461:5998,Customer
6461:5999,Internal resource

6461:2000,Customer in Asia
6461:2001,Customer in Western US
6461:2002,Customer in Central US
6461:2003,Customer in Eastern US
6461:2004,Customer in Western EU
6461:2005,Customer in Eastern EU
6461:2006,Customer in Western Canada
6461:2007,Customer in Eastern Canada
6461:2008,Customer in Australia
6461:2009,Customer in Africa
6461:2010,Customer in Central Canada
6461:2100,Customer in Japan
6461:2101,Customer in the United States
6461:2102,Customer in the Netherlands
6461:2103,Customer in France
6461:2104,Customer in Denark
6461:2105,Customer in Ireland
6461:2106,Customer in Germany
6461:2107,Customer in the United Kingdom
6461:2108,Customer in Austria
6461:2109,Customer in Canada
6461:2110,Customer in Singapore
6461:2111,Customer in Hong Kong
6461:2112,Customer in Australia
6461:2113,Customer in Spain
6461:2114,Customer in Belgium
6461:2115,Customer in Swiss
6461:2116,Customer in Luxembourg

6461:2400,Customer in AMS1
6461:2401,Customer in AMS2
6461:2402,Customer in AMS3
6461:2403,Customer in APC1
6461:2404,Customer in ATL1
6461:2405,Customer in ATL2
6461:2406,Customer in ATL4
6461:2407,Customer in BOS2
6461:2408,Customer in CDG1
6461:2409,Customer in CDG2
6461:2410,Customer in CDG4
6461:2411,Customer in CPH1
6461:2412,Customer in DCA2
6461:2413,Customer in DFW1
6461:2414,Customer in DFW2
6461:2415,Customer in DFW3
6461:2416,Customer in DUB1
6461:2417,Customer in EWR1
6461:2418,Customer in FRA1
6461:2419,Customer in FRA2
6461:2420,Customer in IAD1
6461:2421,Customer in IAD2
6461:2422,Customer in IAD4
6461:2423,Customer in IAD5
6461:2424,Customer in IAD7
6461:2425,Customer in IAH1
6461:2426,Customer in LAX1
6461:2427,Customer in LAX2
6461:2428,Customer in LAX3
6461:2429,Customer in LGA5
6461:2430,Customer in LGA2
6461:2431,Customer in LGA3
6461:2432,Customer in LGA4
6461:2433,Customer in LHR1
6461:2434,Customer in LHR2 & LHR3
6461:2435,Customer in LHR4
6461:2436,Customer in HND1
6461:2437,Customer in NRT3
6461:2438,Customer in NUQ1
6461:2439,Customer in ORD1
6461:2440,Customer in ORD2
6461:2441,Customer in PAO1
6461:2442,Customer in SEA1
6461:2443,Customer in SEA2
6461:2444,Customer in SEA3
6461:2445,Customer in SEA4
6461:2446,Customer in SFO1
6461:2447,Customer in SJC1
6461:2448,Customer in SJC2
6461:2449,Customer in SJC3
6461:2450,Customer in SJC6
6461:2451,Customer in SQL1
6461:2452,Customer in VIE2
6461:2453,Customer in VIE3
6461:2454,Customer in CDG3
6461:2455,Customer in VIE4
6461:2456,Customer in AMS5
6461:2457,Customer in ATL6
6461:2458,Customer in IAD10
6461:2459,Customer in LAX9
6461:2460,Customer in ORD7
6461:2461,Customer in PHX2
6461:2462,Customer in SFO3
6461:2463,Customer in SJC7
6461:2464,Customer in PHL2
6461:2465,Customer in CDG9
6461:2466,Customer in CDG10
6461:2467,Customer in SFO7
6461:2468,Customer in EWR2
6461:2469,Customer in LAX12
6461:2470,Customer in ORD6
6461:2471,Customer in FRA3
6461:2472,Customer in FRA4
6461:2473,Customer in CDG11
6461:2474,Customer in CDG12
6461:2475,Customer in EWR4
6461:2476,Customer in EWR6
6461:2477,Customer in EWR191
