# https://www.de-cix.net/en/resources/service-information/route-server-guides/informational-bgp-communities
#
# List of ASNs:
# https://www.de-cix.net/en/resources/service-information/route-server-guides/action-bgp-communities
# Note that as<ASN>.txt is symlinked to this src_decix.txt file
#
# That covers the following IX + ASN:
#
#-BEGIN_ASN
# ASEAN			38137
# Athens (SEECIX)	56858
# Barcelona		57802
# Brunei (Borneo-IX)	4617
# Chicago		62760
# Copenhagen		201561
# Dallas		62499
# Dubai (UAE-IX)	61374
# Dusseldorf		56890
# Esbjerg		200225
# Frankfurt		6695
# Hamburg		43252
# Helsinki		201560
# Istanbul		20715
# Jakarta		9748
# Karachi (Pakistan IE)	140307
# Kristiansand		201537
# Kuala Lumpur		38194
# Lisbon		43729
# Madrid		48793
# Malaysia		38175
# Marseille		20717
# Mexico		272394
# Munich		47228
# New York		63034
# Nordics		201410
# Oslo			201526
# Palermo		25083
# Penang (PIX)		133086
# Phoenix		400330
# Richmond		393752
# Ruhr-CIX		57819
#-END_ASN

# Continents
<ASN>:1914:150,Continent: Europe
<ASN>:1914:2,Continent: Africa
<ASN>:1914:19,Continent: Americas
<ASN>:1914:142,Continent: Asia
<ASN>:1914:65535,Continent: Unknown

# Countries
<ASN>:1913:276,Country: Germany
<ASN>:1913:250,Country: France
<ASN>:1913:380,Country: Italy
<ASN>:1913:724,Country: Spain
<ASN>:1913:620,Country: Portugal
<ASN>:1913:300,Country: Greece
<ASN>:1913:578,Country: Norway
<ASN>:1913:208,Country: Denmark
<ASN>:1913:246,Country: Finland
<ASN>:1913:528,Country: Netherlands
<ASN>:1913:154,Region: Northern Europe, Norway/Denmark/Finland/Germany

<ASN>:1913:566,Country: Nigeria
<ASN>:1913:180,Country: D.R.Congo

<ASN>:1913:484,Country: Mexico
<ASN>:1913:840,Country: USA
<ASN>:1913:784,Country: United Arab Emirates
<ASN>:1913:792,Country: Türkiye
<ASN>:1913:458,Country: Malaysia
<ASN>:1913:702,Country: Republic of Singapore 
<ASN>:1913:400,Country: Jordan
<ASN>:1913:368,Country: Iraq
<ASN>:1913:586,Country: Pakistan
<ASN>:1913:392,Country: Japan
<ASN>:1913:360,Country: Indonesia
<ASN>:1913:96,Country: Brunei
<ASN>:1913:35,Region: South-eastern Asia: Malaysia, Singapore, Brunei

<ASN>:1913:65535,Country: Unknown

# Metros
<ASN>:1912:0,Metro: FRA
<ASN>:1912:1,Metro: MUC
<ASN>:1912:2,Metro: HAM
<ASN>:1912:9,Metro: DUS
<ASN>:1912:20,Metro: DTH (Ruhr-CIX)
<ASN>:1912:27,Metro: LEJ
<ASN>:1912:6,Metro: MRS
<ASN>:1912:5,Metro: PMO
<ASN>:1912:10,Metro: MAD
<ASN>:1912:21,Metro: BCN
<ASN>:1912:11,Metro: LIS
<ASN>:1912:12,Metro: ATH (SEECIX)
<ASN>:1912:31,Metro: OSL
<ASN>:1912:32,Metro: KRS
<ASN>:1912:36,Metro: EBJ
<ASN>:1912:33,Metro: CPH
<ASN>:1912:34,Metro: HEL
<ASN>:1912:42,Metro: AMS
<ASN>:1912:29,Metro: LOS (AF-CIX)
<ASN>:1912:35,Metro: FIH (ACIX)
<ASN>:1912:50,Metro: MEX
<ASN>:1912:4,Metro: NYC
<ASN>:1912:8,Metro: DFW
<ASN>:1912:14,Metro: ORD
<ASN>:1912:24,Metro: PHX
<ASN>:1912:22,Metro: RIC
<ASN>:1912:40,Metro: SEA
<ASN>:1912:3,Metro: DXB
<ASN>:1912:7,Metro: IST
